Index,y_true,y_pred
32,0.0,1
44,0.0,1
55,0.0,1
160,0.0,1
171,1.0,0
176,1.0,0
187,0.0,1
190,1.0,0
207,0.0,1
214,0.0,1
234,0.0,1
251,1.0,0
253,1.0,0
256,0.0,1
261,1.0,0
326,0.0,1
334,1.0,0
439,0.0,1
442,1.0,0
445,1.0,0
449,0.0,1
524,0.0,1
527,1.0,0
546,0.0,1
561,1.0,0
563,1.0,0
573,0.0,1
600,0.0,1
629,0.0,1
636,0.0,1
640,0.0,1
649,1.0,0
652,1.0,0
661,1.0,0
692,1.0,0
704,0.0,1
720,0.0,1
751,1.0,0
800,0.0,1
816,1.0,0
854,0.0,1
857,0.0,1
861,0.0,1
889,0.0,1
909,0.0,1
998,1.0,0
1020,0.0,1
1026,1.0,0
1038,0.0,1
1039,0.0,1
1044,1.0,0
1075,0.0,1
1082,0.0,1
1095,1.0,0
1102,1.0,0
1122,1.0,0
1127,0.0,1
1150,0.0,1
1164,0.0,1
1179,0.0,1
1185,0.0,1
1193,0.0,1
1197,0.0,1
1205,0.0,1
1228,0.0,1
1243,0.0,1
1250,0.0,1
1263,1.0,0
1276,0.0,1
1284,0.0,1
1291,0.0,1
1362,0.0,1
1369,1.0,0
1383,1.0,0
1386,1.0,0
1389,0.0,1
1398,0.0,1
1417,0.0,1
1420,0.0,1
1433,0.0,1
1446,0.0,1
1461,0.0,1
1467,0.0,1
1469,1.0,0
1476,0.0,1
1480,1.0,0
1481,0.0,1
1486,1.0,0
1521,1.0,0
1538,0.0,1
1543,0.0,1
1567,0.0,1
1616,1.0,0
1625,0.0,1
1651,0.0,1
1654,1.0,0
1664,1.0,0
1678,0.0,1
1681,0.0,1
1695,0.0,1
1739,0.0,1
1776,1.0,0
1777,0.0,1
1782,0.0,1
1804,1.0,0
1877,1.0,0
1891,0.0,1
1903,0.0,1
1924,1.0,0
1926,1.0,0
1949,1.0,0
1957,0.0,1
1989,0.0,1
2024,1.0,0
2031,1.0,0
2038,0.0,1
2054,0.0,1
2056,0.0,1
2064,0.0,1
2073,1.0,0
2114,1.0,0
2118,1.0,0
2139,0.0,1
2145,1.0,0
2194,0.0,1
2203,0.0,1
2227,1.0,0
2235,0.0,1
2241,0.0,1
2252,0.0,1
2281,0.0,1
2314,0.0,1
2339,0.0,1
2353,0.0,1
2377,1.0,0
2385,0.0,1
2415,0.0,1
2422,0.0,1
2441,0.0,1
2442,0.0,1
2447,0.0,1
2451,0.0,1
2455,0.0,1
2470,0.0,1
2489,0.0,1
2497,1.0,0
2499,1.0,0
2530,1.0,0
2533,1.0,0
2560,0.0,1
2561,1.0,0
2572,1.0,0
2579,0.0,1
2580,0.0,1
2584,1.0,0
2592,1.0,0
2651,0.0,1
2657,1.0,0
2666,0.0,1
2668,1.0,0
2670,0.0,1
2682,0.0,1
2687,0.0,1
2700,0.0,1
2706,1.0,0
2711,0.0,1
2716,0.0,1
2741,0.0,1
2756,1.0,0
2760,1.0,0
2775,0.0,1
2802,0.0,1
2809,0.0,1
2826,0.0,1
2863,0.0,1
2905,0.0,1
2915,0.0,1
2921,1.0,0
2927,0.0,1
2970,0.0,1
2984,0.0,1
3012,0.0,1
3013,1.0,0
3082,1.0,0
3084,0.0,1
3115,0.0,1
3134,0.0,1
3170,0.0,1
3182,1.0,0
3251,0.0,1
3264,0.0,1
3287,1.0,0
3297,0.0,1
3305,0.0,1
3326,1.0,0
3331,0.0,1
3347,0.0,1
3351,0.0,1
3354,0.0,1
3368,0.0,1
3375,0.0,1
3380,0.0,1
3401,1.0,0
3426,1.0,0
3433,0.0,1
3446,0.0,1
3452,0.0,1
3453,0.0,1
3468,0.0,1
3488,0.0,1
3498,1.0,0
3499,1.0,0
3501,1.0,0
3503,1.0,0
3514,1.0,0
3520,0.0,1
3543,0.0,1
3546,1.0,0
3562,1.0,0
3563,0.0,1
3575,1.0,0
3600,0.0,1
3626,0.0,1
3631,1.0,0
3681,1.0,0
3684,1.0,0
3691,0.0,1
3703,0.0,1
3708,0.0,1
3743,1.0,0
3754,0.0,1
3761,0.0,1
3765,0.0,1
3776,0.0,1
3791,0.0,1
3800,0.0,1
3807,0.0,1
3834,0.0,1
3846,1.0,0
3898,1.0,0
3925,0.0,1
3935,0.0,1
3954,1.0,0
3966,0.0,1
3972,0.0,1
3981,1.0,0
3987,1.0,0
3988,1.0,0
3991,1.0,0
4024,0.0,1
4042,0.0,1
4046,0.0,1
4073,1.0,0
4085,1.0,0
4095,0.0,1
4115,0.0,1
4125,0.0,1
4163,0.0,1
4184,0.0,1
4217,1.0,0
4258,0.0,1
4261,1.0,0
4304,1.0,0
4335,0.0,1
4366,0.0,1
4399,1.0,0
4403,1.0,0
4437,0.0,1
4451,1.0,0
4454,0.0,1
4467,1.0,0
4480,0.0,1
4507,1.0,0
4523,0.0,1
4557,0.0,1
4568,0.0,1
4608,0.0,1
4638,0.0,1
4669,0.0,1
4702,1.0,0
4707,0.0,1
4721,1.0,0
4722,0.0,1
4741,1.0,0
4750,0.0,1
4764,1.0,0
4800,0.0,1
4818,1.0,0
4885,0.0,1
4946,1.0,0
4965,0.0,1
4977,1.0,0
4985,1.0,0
5006,1.0,0
5011,0.0,1
5021,1.0,0
5025,0.0,1
5031,1.0,0
5084,1.0,0
5112,0.0,1
5145,0.0,1
5151,1.0,0
5155,0.0,1
5174,0.0,1
5194,1.0,0
5195,0.0,1
5222,0.0,1
5224,0.0,1
5233,0.0,1
5269,1.0,0
5296,1.0,0
5300,1.0,0
5328,1.0,0
5332,0.0,1
5356,1.0,0
5360,0.0,1
5375,0.0,1
5394,0.0,1
5413,1.0,0
5430,0.0,1
5433,0.0,1
5440,0.0,1
5442,0.0,1
5455,0.0,1
5491,0.0,1
5514,0.0,1
5534,1.0,0
5541,1.0,0
5556,1.0,0
5560,0.0,1
5610,1.0,0
5614,0.0,1
5622,0.0,1
5627,0.0,1
5646,1.0,0
5702,0.0,1
5716,0.0,1
5731,1.0,0
5766,1.0,0
5844,0.0,1
5882,1.0,0
5905,0.0,1
5926,1.0,0
5937,1.0,0
5938,0.0,1
5944,1.0,0
5950,0.0,1
5977,0.0,1
6012,0.0,1
6025,0.0,1
6054,0.0,1
6061,0.0,1
6085,0.0,1
6171,0.0,1
6176,0.0,1
