Index,y_true,y_pred
0,0.0,1.0
7,1.0,0.0
21,0.0,1.0
29,0.0,1.0
32,0.0,1.0
33,0.0,1.0
44,0.0,1.0
46,0.0,1.0
49,0.0,1.0
55,0.0,1.0
61,0.0,1.0
108,0.0,1.0
116,1.0,0.0
120,0.0,1.0
136,0.0,1.0
160,0.0,1.0
170,0.0,1.0
173,0.0,1.0
175,0.0,1.0
184,0.0,1.0
185,0.0,1.0
186,0.0,1.0
187,0.0,1.0
188,0.0,1.0
198,0.0,1.0
207,0.0,1.0
214,0.0,1.0
221,0.0,1.0
224,0.0,1.0
232,0.0,1.0
234,0.0,1.0
241,0.0,1.0
248,0.0,1.0
251,1.0,0.0
253,1.0,0.0
256,0.0,1.0
261,1.0,0.0
262,0.0,1.0
280,0.0,1.0
289,0.0,1.0
290,1.0,0.0
295,0.0,1.0
303,0.0,1.0
305,0.0,1.0
312,0.0,1.0
326,0.0,1.0
331,0.0,1.0
343,0.0,1.0
377,0.0,1.0
379,0.0,1.0
382,0.0,1.0
386,0.0,1.0
388,0.0,1.0
389,0.0,1.0
390,0.0,1.0
400,1.0,0.0
411,0.0,1.0
415,0.0,1.0
421,0.0,1.0
428,0.0,1.0
439,0.0,1.0
442,1.0,0.0
445,1.0,0.0
449,0.0,1.0
453,0.0,1.0
454,0.0,1.0
458,0.0,1.0
460,0.0,1.0
487,0.0,1.0
515,1.0,0.0
524,0.0,1.0
546,0.0,1.0
551,0.0,1.0
556,0.0,1.0
560,0.0,1.0
561,1.0,0.0
566,0.0,1.0
569,0.0,1.0
573,0.0,1.0
579,0.0,1.0
589,0.0,1.0
597,0.0,1.0
599,0.0,1.0
600,0.0,1.0
608,0.0,1.0
610,0.0,1.0
617,0.0,1.0
623,0.0,1.0
629,0.0,1.0
630,0.0,1.0
636,0.0,1.0
640,0.0,1.0
642,0.0,1.0
661,1.0,0.0
668,0.0,1.0
669,0.0,1.0
675,0.0,1.0
676,0.0,1.0
682,0.0,1.0
703,0.0,1.0
704,0.0,1.0
712,0.0,1.0
714,0.0,1.0
715,0.0,1.0
716,0.0,1.0
720,0.0,1.0
742,1.0,0.0
748,0.0,1.0
751,1.0,0.0
753,0.0,1.0
757,1.0,0.0
761,0.0,1.0
767,0.0,1.0
780,0.0,1.0
789,0.0,1.0
790,0.0,1.0
792,1.0,0.0
800,0.0,1.0
807,0.0,1.0
813,0.0,1.0
816,1.0,0.0
833,0.0,1.0
839,0.0,1.0
847,0.0,1.0
850,1.0,0.0
854,0.0,1.0
857,0.0,1.0
858,0.0,1.0
859,0.0,1.0
861,0.0,1.0
864,0.0,1.0
867,0.0,1.0
876,0.0,1.0
877,0.0,1.0
886,0.0,1.0
889,0.0,1.0
893,0.0,1.0
894,0.0,1.0
897,0.0,1.0
906,1.0,0.0
909,0.0,1.0
915,0.0,1.0
924,0.0,1.0
929,1.0,0.0
941,0.0,1.0
943,0.0,1.0
947,0.0,1.0
948,0.0,1.0
957,0.0,1.0
972,1.0,0.0
999,0.0,1.0
1004,0.0,1.0
1006,0.0,1.0
1020,0.0,1.0
1026,1.0,0.0
1038,0.0,1.0
1039,0.0,1.0
1043,0.0,1.0
1053,0.0,1.0
1056,0.0,1.0
1063,1.0,0.0
1071,0.0,1.0
1075,0.0,1.0
1082,0.0,1.0
1084,0.0,1.0
1087,1.0,0.0
1091,0.0,1.0
1104,0.0,1.0
1119,0.0,1.0
1127,0.0,1.0
1135,0.0,1.0
1144,0.0,1.0
1150,0.0,1.0
1157,1.0,0.0
1164,0.0,1.0
1167,0.0,1.0
1174,0.0,1.0
1179,0.0,1.0
1185,0.0,1.0
1188,0.0,1.0
1189,0.0,1.0
1193,0.0,1.0
1197,0.0,1.0
1205,0.0,1.0
1221,0.0,1.0
1228,0.0,1.0
1236,0.0,1.0
1240,1.0,0.0
1243,0.0,1.0
1247,0.0,1.0
1250,0.0,1.0
1251,1.0,0.0
1260,0.0,1.0
1276,0.0,1.0
1278,0.0,1.0
1279,0.0,1.0
1284,0.0,1.0
1287,0.0,1.0
1289,0.0,1.0
1291,0.0,1.0
1300,0.0,1.0
1303,1.0,0.0
1307,0.0,1.0
1315,1.0,0.0
1330,0.0,1.0
1334,0.0,1.0
1338,0.0,1.0
1341,0.0,1.0
1342,0.0,1.0
1343,0.0,1.0
1359,0.0,1.0
1362,0.0,1.0
1366,0.0,1.0
1369,1.0,0.0
1389,0.0,1.0
1402,0.0,1.0
1407,0.0,1.0
1413,0.0,1.0
1417,0.0,1.0
1420,0.0,1.0
1422,1.0,0.0
1430,1.0,0.0
1431,0.0,1.0
1432,0.0,1.0
1442,0.0,1.0
1446,0.0,1.0
1461,0.0,1.0
1463,0.0,1.0
1467,0.0,1.0
1476,0.0,1.0
1480,1.0,0.0
1481,0.0,1.0
1486,1.0,0.0
1488,1.0,0.0
1510,1.0,0.0
1515,0.0,1.0
1523,0.0,1.0
1528,0.0,1.0
1529,0.0,1.0
1530,0.0,1.0
1538,0.0,1.0
1541,0.0,1.0
1543,0.0,1.0
1555,0.0,1.0
1557,0.0,1.0
1558,1.0,0.0
1567,0.0,1.0
1569,0.0,1.0
1592,0.0,1.0
1619,1.0,0.0
1620,0.0,1.0
1622,1.0,0.0
1623,0.0,1.0
1624,0.0,1.0
1625,0.0,1.0
1636,0.0,1.0
1638,0.0,1.0
1645,0.0,1.0
1651,0.0,1.0
1655,0.0,1.0
1673,0.0,1.0
1678,0.0,1.0
1680,0.0,1.0
1681,0.0,1.0
1692,1.0,0.0
1695,0.0,1.0
1704,0.0,1.0
1709,0.0,1.0
1715,0.0,1.0
1724,0.0,1.0
1726,0.0,1.0
1728,0.0,1.0
1730,0.0,1.0
1734,0.0,1.0
1739,0.0,1.0
1741,0.0,1.0
1742,0.0,1.0
1744,0.0,1.0
1753,0.0,1.0
1764,1.0,0.0
1771,0.0,1.0
1775,0.0,1.0
